index,time,A,B,C
0.0,-4e-06,-39.37007874015748,0.0,-39.37007874015748
1.0,-3.9992e-06,-39.37007874015748,0.0,0.0
2.0,-3.9984e-06,-39.37007874015748,0.0,-39.37007874015748
3.0,-3.9976e-06,0.0,39.37007874015748,0.0
4.0,-3.9968e-06,-39.37007874015748,39.37007874015748,0.0
5.0,-3.9959999999999995e-06,0.0,0.0,-39.37007874015748
6.0,-3.9951999999999995e-06,0.0,39.37007874015748,0.0
7.0,-3.994399999999999e-06,0.0,0.0,0.0
8.0,-3.9936e-06,0.0,0.0,0.0
9.0,-3.9928e-06,-39.37007874015748,0.0,-39.37007874015748
10.0,-3.992e-06,0.0,39.37007874015748,-39.37007874015748
11.0,-3.9912e-06,0.0,0.0,-39.37007874015748
12.0,-3.9904e-06,0.0,0.0,0.0
13.0,-3.9896e-06,0.0,39.37007874015748,0.0
14.0,-3.9888e-06,0.0,39.37007874015748,0.0
15.0,-3.988e-06,0.0,39.37007874015748,0.0
16.0,-3.9872e-06,-39.37007874015748,39.37007874015748,0.0
17.0,-3.9864e-06,0.0,39.37007874015748,0.0
18.0,-3.9856e-06,-39.37007874015748,0.0,-39.37007874015748
19.0,-3.9847999999999995e-06,0.0,0.0,0.0
20.0,-3.9839999999999995e-06,0.0,39.37007874015748,-39.37007874015748
21.0,-3.983199999999999e-06,0.0,0.0,-39.37007874015748
22.0,-3.9824e-06,0.0,39.37007874015748,-39.37007874015748
23.0,-3.9816e-06,-39.37007874015748,0.0,-39.37007874015748
24.0,-3.9808e-06,39.37007874015748,39.37007874015748,-39.37007874015748
25.0,-3.98e-06,0.0,0.0,0.0
26.0,-3.9792e-06,0.0,0.0,0.0
27.0,-3.9784e-06,-39.37007874015748,0.0,-39.37007874015748
28.0,-3.9776e-06,0.0,39.37007874015748,0.0
29.0,-3.9768e-06,0.0,39.37007874015748,-39.37007874015748
30.0,-3.976e-06,-39.37007874015748,0.0,-39.37007874015748
31.0,-3.9752e-06,0.0,0.0,0.0
32.0,-3.9744e-06,-39.37007874015748,0.0,0.0
33.0,-3.9735999999999995e-06,0.0,0.0,0.0
34.0,-3.9727999999999995e-06,-39.37007874015748,0.0,0.0
35.0,-3.971999999999999e-06,0.0,0.0,0.0
36.0,-3.9712e-06,-39.37007874015748,39.37007874015748,0.0
37.0,-3.9704e-06,0.0,39.37007874015748,-39.37007874015748
38.0,-3.9696e-06,39.37007874015748,39.37007874015748,-39.37007874015748
39.0,-3.9688e-06,0.0,0.0,0.0
40.0,-3.968e-06,0.0,39.37007874015748,0.0
41.0,-3.9672e-06,0.0,0.0,0.0
