index,time,A,B,C,E,H
0.0,-4e-06,0.0,39.37007874015748,0.0,-39.37007874015748,0.0
1.0,-3.9992e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
2.0,-3.9984e-06,0.0,0.0,-39.37007874015748,-39.37007874015748,0.0
3.0,-3.9976e-06,0.0,0.0,0.0,-39.37007874015748,39.37007874015748
4.0,-3.9968e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
5.0,-3.9959999999999995e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
6.0,-3.9951999999999995e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
7.0,-3.994399999999999e-06,0.0,39.37007874015748,-39.37007874015748,-39.37007874015748,0.0
8.0,-3.9936e-06,0.0,0.0,-39.37007874015748,0.0,0.0
9.0,-3.9928e-06,0.0,39.37007874015748,-39.37007874015748,-39.37007874015748,-39.37007874015748
10.0,-3.992e-06,0.0,39.37007874015748,0.0,0.0,0.0
11.0,-3.9912e-06,-39.37007874015748,39.37007874015748,0.0,0.0,-39.37007874015748
12.0,-3.9904e-06,0.0,0.0,-39.37007874015748,0.0,0.0
13.0,-3.9896e-06,0.0,39.37007874015748,0.0,0.0,0.0
14.0,-3.9888e-06,0.0,39.37007874015748,-39.37007874015748,-39.37007874015748,0.0
15.0,-3.988e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
16.0,-3.9872e-06,-39.37007874015748,39.37007874015748,0.0,0.0,-39.37007874015748
17.0,-3.9864e-06,-39.37007874015748,0.0,0.0,39.37007874015748,-39.37007874015748
18.0,-3.9856e-06,0.0,-39.37007874015748,0.0,0.0,-39.37007874015748
19.0,-3.9847999999999995e-06,0.0,0.0,0.0,0.0,0.0
20.0,-3.9839999999999995e-06,-39.37007874015748,39.37007874015748,0.0,39.37007874015748,-39.37007874015748
21.0,-3.983199999999999e-06,0.0,39.37007874015748,0.0,0.0,0.0
22.0,-3.9824e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
23.0,-3.9816e-06,0.0,39.37007874015748,0.0,0.0,-39.37007874015748
24.0,-3.9808e-06,0.0,0.0,-39.37007874015748,-39.37007874015748,-39.37007874015748
25.0,-3.98e-06,0.0,0.0,0.0,0.0,0.0
26.0,-3.9792e-06,0.0,39.37007874015748,0.0,0.0,-39.37007874015748
27.0,-3.9784e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,0.0
28.0,-3.9776e-06,0.0,0.0,0.0,0.0,0.0
29.0,-3.9768e-06,0.0,0.0,-39.37007874015748,0.0,0.0
30.0,-3.976e-06,-39.37007874015748,39.37007874015748,0.0,0.0,-39.37007874015748
31.0,-3.9752e-06,0.0,0.0,-39.37007874015748,0.0,0.0
32.0,-3.9744e-06,0.0,39.37007874015748,-39.37007874015748,0.0,-39.37007874015748
33.0,-3.9735999999999995e-06,-39.37007874015748,0.0,0.0,0.0,0.0
34.0,-3.9727999999999995e-06,0.0,0.0,-39.37007874015748,-39.37007874015748,0.0
35.0,-3.971999999999999e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
36.0,-3.9712e-06,0.0,0.0,0.0,-39.37007874015748,0.0
37.0,-3.9704e-06,0.0,0.0,-39.37007874015748,39.37007874015748,-39.37007874015748
38.0,-3.9696e-06,0.0,0.0,-39.37007874015748,39.37007874015748,39.37007874015748
39.0,-3.9688e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
40.0,-3.968e-06,0.0,0.0,0.0,0.0,0.0
41.0,-3.9672e-06,-39.37007874015748,0.0,0.0,0.0,0.0
42.0,-3.9664e-06,-39.37007874015748,39.37007874015748,0.0,39.37007874015748,39.37007874015748
43.0,-3.9656e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
44.0,-3.9648e-06,-39.37007874015748,39.37007874015748,0.0,0.0,39.37007874015748
45.0,-3.964e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
46.0,-3.9632e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
47.0,-3.9623999999999995e-06,-39.37007874015748,39.37007874015748,0.0,0.0,0.0
48.0,-3.9615999999999995e-06,0.0,0.0,-39.37007874015748,0.0,-39.37007874015748
49.0,-3.960799999999999e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
50.0,-3.96e-06,0.0,0.0,-39.37007874015748,0.0,0.0
51.0,-3.9592e-06,0.0,39.37007874015748,-39.37007874015748,0.0,-39.37007874015748
52.0,-3.9584e-06,0.0,0.0,-39.37007874015748,0.0,0.0
53.0,-3.9576e-06,0.0,39.37007874015748,0.0,39.37007874015748,0.0
54.0,-3.9568e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,0.0
55.0,-3.956e-06,0.0,0.0,0.0,39.37007874015748,0.0
56.0,-3.9552e-06,0.0,0.0,-39.37007874015748,0.0,0.0
57.0,-3.9544e-06,0.0,0.0,-39.37007874015748,0.0,0.0
58.0,-3.9536e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
59.0,-3.9528e-06,0.0,0.0,-39.37007874015748,-39.37007874015748,0.0
60.0,-3.952e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
61.0,-3.9511999999999995e-06,-39.37007874015748,39.37007874015748,0.0,0.0,0.0
62.0,-3.9503999999999995e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
63.0,-3.949599999999999e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
64.0,-3.9488e-06,-39.37007874015748,0.0,0.0,-39.37007874015748,0.0
65.0,-3.948e-06,0.0,0.0,-39.37007874015748,0.0,0.0
66.0,-3.9472e-06,0.0,0.0,0.0,0.0,-39.37007874015748
67.0,-3.9464e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
68.0,-3.9456e-06,0.0,0.0,0.0,39.37007874015748,0.0
69.0,-3.9448e-06,0.0,0.0,0.0,39.37007874015748,0.0
70.0,-3.944e-06,-39.37007874015748,39.37007874015748,0.0,39.37007874015748,0.0
71.0,-3.9432e-06,0.0,39.37007874015748,0.0,0.0,0.0
72.0,-3.9424e-06,0.0,0.0,0.0,0.0,0.0
73.0,-3.9416e-06,0.0,39.37007874015748,-39.37007874015748,39.37007874015748,0.0
74.0,-3.9408e-06,0.0,39.37007874015748,-39.37007874015748,39.37007874015748,0.0
75.0,-3.9399999999999995e-06,0.0,0.0,-39.37007874015748,0.0,0.0
76.0,-3.9391999999999995e-06,0.0,0.0,0.0,0.0,0.0
77.0,-3.9383999999999994e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
78.0,-3.9376e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
79.0,-3.9368e-06,-78.74015748031496,39.37007874015748,0.0,0.0,0.0
80.0,-3.936e-06,0.0,39.37007874015748,-39.37007874015748,0.0,-39.37007874015748
81.0,-3.9352e-06,0.0,0.0,0.0,0.0,0.0
82.0,-3.9344e-06,0.0,0.0,0.0,0.0,0.0
83.0,-3.9336e-06,0.0,0.0,0.0,39.37007874015748,0.0
84.0,-3.9328e-06,-39.37007874015748,0.0,0.0,0.0,0.0
85.0,-3.932e-06,0.0,0.0,0.0,0.0,-39.37007874015748
86.0,-3.9312e-06,-39.37007874015748,0.0,-39.37007874015748,39.37007874015748,0.0
87.0,-3.9304e-06,0.0,0.0,0.0,0.0,0.0
88.0,-3.9296e-06,0.0,0.0,0.0,0.0,0.0
89.0,-3.9287999999999996e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,39.37007874015748,0.0
90.0,-3.9279999999999995e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
91.0,-3.9271999999999994e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
92.0,-3.9264e-06,0.0,0.0,-39.37007874015748,0.0,0.0
93.0,-3.9256e-06,0.0,0.0,-39.37007874015748,0.0,-39.37007874015748
94.0,-3.9248e-06,0.0,39.37007874015748,0.0,0.0,39.37007874015748
95.0,-3.924e-06,-39.37007874015748,39.37007874015748,0.0,39.37007874015748,0.0
96.0,-3.9232e-06,0.0,0.0,0.0,0.0,0.0
97.0,-3.9224e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
98.0,-3.9216e-06,0.0,39.37007874015748,0.0,0.0,-39.37007874015748
99.0,-3.9208e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,-39.37007874015748
100.0,-3.92e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,0.0,0.0
101.0,-3.9192e-06,0.0,0.0,0.0,0.0,0.0
102.0,-3.9184e-06,-39.37007874015748,39.37007874015748,0.0,0.0,39.37007874015748
103.0,-3.9175999999999996e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
104.0,-3.9167999999999995e-06,0.0,0.0,-39.37007874015748,0.0,-39.37007874015748
105.0,-3.9159999999999994e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
106.0,-3.9152e-06,0.0,0.0,-39.37007874015748,39.37007874015748,-39.37007874015748
107.0,-3.9144e-06,0.0,0.0,0.0,0.0,0.0
108.0,-3.9136e-06,-39.37007874015748,39.37007874015748,0.0,0.0,0.0
109.0,-3.9128e-06,0.0,0.0,0.0,0.0,0.0
110.0,-3.912e-06,-39.37007874015748,39.37007874015748,0.0,0.0,0.0
111.0,-3.9112e-06,-39.37007874015748,39.37007874015748,0.0,-39.37007874015748,0.0
112.0,-3.9104e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
113.0,-3.9096e-06,0.0,0.0,-39.37007874015748,39.37007874015748,0.0
114.0,-3.9088e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
115.0,-3.908e-06,0.0,0.0,-39.37007874015748,-39.37007874015748,0.0
116.0,-3.9072e-06,-39.37007874015748,0.0,0.0,0.0,0.0
117.0,-3.9063999999999996e-06,-39.37007874015748,0.0,-39.37007874015748,0.0,-39.37007874015748
118.0,-3.9055999999999995e-06,0.0,0.0,0.0,0.0,0.0
119.0,-3.9047999999999994e-06,0.0,39.37007874015748,0.0,0.0,0.0
120.0,-3.904e-06,0.0,39.37007874015748,0.0,0.0,0.0
121.0,-3.9032e-06,0.0,39.37007874015748,0.0,0.0,0.0
122.0,-3.9024e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
123.0,-3.9016e-06,-39.37007874015748,39.37007874015748,-39.37007874015748,-39.37007874015748,-39.37007874015748
124.0,-3.9008e-06,0.0,0.0,-39.37007874015748,0.0,0.0
125.0,-3.9e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
126.0,-3.8992e-06,0.0,39.37007874015748,0.0,0.0,0.0
127.0,-3.8984e-06,-39.37007874015748,0.0,-39.37007874015748,39.37007874015748,0.0
128.0,-3.8976e-06,0.0,39.37007874015748,-39.37007874015748,0.0,-39.37007874015748
129.0,-3.8968e-06,0.0,0.0,-39.37007874015748,0.0,-39.37007874015748
130.0,-3.896e-06,0.0,0.0,-39.37007874015748,-39.37007874015748,-39.37007874015748
131.0,-3.8951999999999996e-06,0.0,0.0,0.0,0.0,0.0
132.0,-3.8943999999999995e-06,0.0,39.37007874015748,-39.37007874015748,0.0,0.0
